District,District Code,Facility Code,Reg No.,DHIS2 CODE,Facility Name,Facility Type,Facility Ownership,Facility Location,Catchment Population (2018),LATITUDE,LONGITUDE,,,,,,,
Chitipa,CP,120,,0,Itulo,Health Post,Government/public,Rural,,-9.677900,33.595689,,,,,,,
Chitipa,CP,121,,0,Sokola,Health Post,Government/public,Rural,,-9.722825,33.583947,,,,,,,
Chitipa,CP,122,,0,Mpemba,Health Post,Government/public,Rural,,-10.134558,33.521683,,,,,,,
Chitipa,CP,123,,0,Therere,Health Post,Government/public,Rural,,-10.417667,33.663209,,,,,,,
Chitipa,CP,124,,0,Mchina,Health Post,Government/public,Rural,,-10.309487,33.711544,,,,,,,
Chitipa,CP,125,,0,Kopakopa,Health Post,Government/public,Rural,,-10.138347,33.702798,,,,,,,
Chitipa,CP,126,,126,Mahowe,Health Post,Government/public,Rural,,-10.183192,33.690349,,,,,,,
Chitipa,CP,127,,0,Karopa,Health Post,Government/public,Rural,,-10.216613,33.650444,,,,,,,
Chitipa,CP,128,,0,Kavukuku,Health Post,Government/public,Rural,,-10.275083,33.571761,,,,,,,
Chitipa,CP,129,,0,Nachipangapanga,Health Post,Government/public,Rural,,-9.872516,33.381377,,,,,,,
Chitipa,CP,130,,0,Chendo,Health Post,Government/public,Rural,,-9.882464,33.410688,,,,,,,
Chitipa,CP,131,,0,Chisenga,Health Post,Government/public,Rural,,-9.974946,33.389664,,,,,,,
Chitipa,CP,132,,0,Mlembe,Health Post,Government/public,Rural,,-10.061782,33.377912,,,,,,,
Chitipa,CP,133,,0,Naching'Anda,Health Post,Government/public,Rural,,-9.684917,33.418491,,,,,,,
Chitipa,CP,134,,0,Kanyenjere,Health Post,Government/public,Rural,,-9.762793,33.417264,,,,,,,
Chitipa,CP,135,,0,Lufita,Health Post,Government/public,Rural,,-9.713421,33.356036,,,,,,,
Chitipa,CP,136,,0,Chinsasu,Health Post,Government/public,Rural,,,,,,,,,,
Chitipa,CP,137,MCM/C/365,-1,Misuku Cooperative Community Hospital,Rural/Community Hospital,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Karonga,KA,206,,206,Karonga District Hospital,District Hospital,Government/public,Urban,,-9.955450,33.911130,,,,,,,
Karonga,KA,216,MCM/CHAM/RH/66,216,Atupele Community Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-9.736820,33.837440,,,,,,,
Karonga,KA,219,,219,"Care Private Clinic, Mphenzi,",Dispensary,Private for profit,Urban,,-9.939420,33.922970,,,,,,,
Karonga,KA,201,MCM/MOH/RH/03,201,Chilumba Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-10.431990,34.251930,,,,,,,
Karonga,KA,220,,0,"Chiza Private Clinic, Dube, Wy",Dispensary,Private for profit,Rural,,-10.455340,34.209510,,,,,,,
Karonga,KA,202,MCM/MOH/HC/46,202,Fulirwa Health Centre,Health Centre,Government/public,Rural,,-10.447720,34.112110,,,,,,,
Karonga,KA,203,MCM/MOH/HC/41,203,Hara Health Centre,Dispensary,Government/public,Rural,,-10.488760,34.169390,,,,,,,
Karonga,KA,204,MCM/MOH/HC/48,204,Iponga Health Centre,Health Centre,Government/public,Rural,,-9.646050,33.812530,,,,,,,
Karonga,KA,205,MCM/MOH/RH/02,205,Kaporo Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-9.767560,33.874660,,,,,,,
Karonga,KA,215,MCM/C/067,215,Karonga BLM,Dispensary,NGO,Urban,,-9.940270,33.924360,,,,,,,
Karonga,KA,217,,217,Kasoba Health Centre,Health Centre,Government/public,Rural,,-9.873550,33.869720,,,,,,,
Karonga,KA,221,,0,"Kwambukwa Private Clinic, Mbuk",Dispensary,Private for profit,Urban,,-9.940490,33.924230,,,,,,,
Karonga,KA,207,,207,Lupembe Health Centre,Health Centre,Government/public,Rural,,-10.066280,33.987780,,,,,,,
Karonga,KA,208,,208,Lwezga Health Centre,Health Centre,Government/public,Rural,,-10.566920,34.179430,,,,,,,
Karonga,KA,222,,0,"Maneno Private Clinic, Mhone,",Dispensary,Private for profit,Urban,,-9.940140,33.924360,,,,,,,
Karonga,KA,218,,-1,Mlare Health Centre,Health Centre,Government/public,Rural,,-10.173000,34.035910,,,,,,,
Karonga,KA,209,MCM/MOH/HC/45,209,Mpata Health Centre,Health Centre,Government/public,Rural,,-9.960620,33.815250,,,,,,,
Karonga,KA,210,MCM/MOH/HC/44,210,Ngana Health Centre,Health Centre,Government/public,Rural,,-9.620210,33.698910,,,,,,,
Karonga,KA,211,MCM/MOH/HC/47,211,Nyungwe Health Centre,Health Centre,Government/public,Rural,,-10.285460,34.108510,,,,,,,
Karonga,KA,212,MCM/CHAM/HC/13,0,Sangiro Health centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-10.516090,34.213460,,,,,,,
Karonga,KA,213,MCM/CHAM/HC/65,213,St. Anne's Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-10.411840,34.211880,,,,,,,
Karonga,KA,223,,0,Timunyazge Clinic,Dispensary,Private for profit,Rural,,-10.211910,34.087430,,,,,,,
Karonga,KA,214,MCM/MOH/HC/42,214,Wiliro Health Centre,Health Centre,Government/public,Rural,,-9.893120,33.614040,,,,,,,
Karonga,KA,224,,224,Chilumba Barracks,Health Centre,Government/public,Rural,,-10.390210,34.208970,,,,,,,
Karonga,KA,225,MCM/C/31,0,Wovwe Escom Clinic,Dispensary,Company,Rural,,-10.443890,34.084610,,,,,,,
Karonga,KA,226,,0,Old Hospital,Health Post,Government/public,Rural,,-9.932075,33.940017,,,,,,,
Karonga,KA,227,,0,Tilola,Health Post,Government/public,Rural,,-10.329445,34.175349,,,,,,,
Karonga,KA,228,,0,Chihepusha,Health Post,Government/public,Rural,,-10.332331,34.110642,,,,,,,
Karonga,KA,229,,0,Ngara,Health Post,Government/public,Rural,,-10.225176,34.102070,,,,,,,
Karonga,KA,230,,0,Kayelekela,Health Post,Government/public,Rural,,-9.970284,33.688526,,,,,,,
Karonga,KA,231,,0,Vilaule,Health Post,Government/public,Rural,,-9.944731,33.773907,,,,,,,
Karonga,KA,232,,0,Silu,Health Post,Government/public,Rural,,-9.938145,33.823415,,,,,,,
Karonga,KA,233,,0,Lupaso,Health Post,Government/public,Rural,,-9.930017,33.853121,,,,,,,
Karonga,KA,234,,0,Malungo,Health Post,Government/public,Rural,,-9.886358,33.905859,,,,,,,
Karonga,KA,235,,0,Ngisi,Health Post,Government/public,Rural,,-9.594431,33.723042,,,,,,,
Karonga,KA,236,,0,Uliwa,Health Post,Government/public,Rural,,-10.454047,34.207592,,,,,,,
Karonga,KA,237,,0,Gonthaminga,Health Post,Government/public,Rural,,-10.402957,34.134781,,,,,,,
Karonga,KA,238,,0,Chikutu,Health Post,Government/public,Rural,,-9.774048,33.734621,,,,,,,
Karonga,KA,231,,0,Katiri Health Center,Health Centre,Government/public,Rural,,,,,,,,,,
Karonga,KA,232,,0,Lughano Private Clinic,Dispensary,Private for profit,Urban,,,,,,,,,,
Karonga,KA,233,,0,Wakisa Private Clinic,Dispensary,Private for profit,Urban,,,,,,,,,,
Karonga,KA,234,MCM/C/202,0,MACRO Karonga Centre,Dispensary,Private for profit,Urban,,,,,,,,,,
Karonga,KA,235,MCM/C/393,0,Umoyo uweme Clinic,Dispensary,Private for profit,Urban,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nkhata Bay,NB,315,MCM/MOH/DH/02,315,Nkhata Bay District Hospital,District Hospital,Government/public,Urban,,-11.601590,34.298720,,,,,,,
Nkhata Bay,NB,305,MCM/MOH/RH/01,305,Chintcheche Rural Hospital,Rural/Community Hospital,Government/public,Urban,,-11.827190,34.168360,,,,,,,
Nkhata Bay,NB,301,MCM/MOH/HC/05,301,Bula Health Centre,Health Centre,Government/public,Rural,,-11.222680,34.123240,,,,,,,
Nkhata Bay,NB,302,MCM/MOH/HC/07,302,Chesamu Health Centre,Health Centre,Government/public,Rural,,-11.854220,34.018360,,,,,,,
Nkhata Bay,NB,303,MCM/MOH/HC/06,303,Chikwina Health Centre,Health Centre,Government/public,Rural,,-11.396940,34.169730,,,,,,,
Nkhata Bay,NB,321,,321,Chisala Health Centre,Health Centre,Government/public,Rural,,-11.574580,34.122010,,,,,,,
Nkhata Bay,NB,306,MCM/MOH/HC/04,306,Chitheka Health Centre,Health Centre,Government/public,Rural,,-11.701910,33.951470,,,,,,,
Nkhata Bay,NB,308,MCM/MOH/HC/11,308,Kachere Health Centre,Health Centre,Government/public,Rural,,-12.003270,34.049610,,,,,,,
Nkhata Bay,NB,309,MCM/MOH/HC/15,309,Kande Health Centre,Health Centre,Government/public,Rural,,-11.936410,34.109440,,,,,,,
Nkhata Bay,NB,311,MCM/MOH/HC/10,311,Liuzi Health Centre,Health Centre,Government/public,Rural,,-12.189710,34.015720,,,,,,,
Nkhata Bay,NB,324,MCM/MOH/HC/13,324,Maula Health Centre,Health Centre,Government/public,Rural,,-11.735180,34.235140,,,,,,,
Nkhata Bay,NB,313,MCM/MOH/HC/12,313,Mpamba Health Centre,Health Centre,Government/public,Rural,,-11.546970,34.197270,,,,,,,
Nkhata Bay,NB,314,MCM/MOH/HC/09,314,Mzenga Health Centre,Health Centre,Government/public,Rural,,-11.732490,34.074010,,,,,,,
Nkhata Bay,NB,319,MCM/MOH/HC/14,319,Usisya Health Centre,Health Centre,Government/public,Rural,,-11.239400,34.209410,,,,,,,
Nkhata Bay,NB,310,,310,Khondowe,Health Centre,Government/public,Rural,,-11.072810,34.219390,,,,,,,
Nkhata Bay,NB,317,,317,Ruarwe Dispensary,Dispensary,Government/public,Rural,,-11.113770,34.230930,,,,,,,
Nkhata Bay,NB,320,,320,Nthungwa Health Centre,Health Centre,Government/public,Rural,,-11.660140,33.800460,,,,,,,
Nkhata Bay,NB,312,MCM/CHAM/HC/77,312,Lwazi Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-11.518640,34.151150,,,,,,,
Nkhata Bay,NB,304,MCM/CHAM/HC/59,304,Chilambwe Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-11.691140,34.316170,,,,,,,
Nkhata Bay,NB,325,MCM/C/151,325,Vizara Dispensary,Dispensary,Private for profit,Rural,,-11.666560,34.261150,,,,,,,
Nkhata Bay,NB,326,,0,Cumnock Private Clinic,Dispensary,Private for profit,Rural,,-11.527050,34.084820,,,,,,,
Nkhata Bay,NB,327,,327,Nkhata Bay Private Clinic,Dispensary,Private for profit,Urban,,-11.606630,34.295490,,,,,,,
Nkhata Bay,NB,328,,0,Raha Private Clinic,Dispensary,Private for profit,Urban,,-11.612280,34.268740,,,,,,,
Nkhata Bay,NB,322,MCM/C/086,322,Banja La Mstogolo (BLM) Nkhata,Dispensary,NGO,Urban,,-11.609070,34.298990,,,,,,,
Nkhata Bay,NB,329,MCM/C/266,329,Mwaya Clinic,Dispensary,Government/public,Rural,,-11.976580,34.076030,,,,,,,
Nkhata Bay,NB,323,,323,Kavuzi Clinic,Dispensary,Company,Rural,,-11.674410,34.081660,,,,,,,
Nkhata Bay,NB,330,,330,Kawalazi Estate Clinic,Dispensary,Company,Rural,,-11.644060,34.109830,,,,,,,
Nkhata Bay,NB,331,,0,Thoto Dispensary,Dispensary,Government/public,Rural,,-11.453150,34.277320,,,,,,,
Nkhata Bay,NB,332,MCM/C/236,0,Chombe Estate Dispensary,Dispensary,Company,Rural,,-11.647710,34.212140,,,,,,,
Nkhata Bay,NB,333,,333,Tukombo,Health Post,Government/public,Rural,,-12.083223,34.054283,,,,,,,
Nkhata Bay,NB,334,MCM/MOH/HC/03,0,Chizumulu,Health Centre,Government/public,Rural,,,,,,,,,,
Nkhata Bay,NB,334,MCM/MOH/HC/02,324,Old Maula Health Center,Health Centre,Government/public,Rural,,,,,,,,,,
Nkhata Bay,NB,335,MCM/MOH/HC/01,0,Phirisingo Health Center,Health Centre,Government/public,Rural,,,,,,,,,,
Nkhata Bay,NB,336,MCM/C/287,0,Vision Bible Training & Accom. Centre Pvt Clinic,Dispensary,NGO,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Rumphi,RU,417,MCM/MOH/DH/18,417,Rumphi District Hospital,District Hospital,Government/public,Urban,,-11.019930,33.854220,,,,,,,
Rumphi,RU,419,MCM/CHAM/RH/56,419,Tcharo Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-10.961930,34.222250,,,,,,,
Rumphi,RU,401,MCM/MOH/RH/07,401,Bolero Rural Hospital,Rural/Community Hospital,Government/public,Urban,,-10.978430,33.743420,,,,,,,
Rumphi,RU,408,,408,Katowo Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-10.812780,33.522220,,,,,,,
Rumphi,RU,411,MCM/MOH/RH/06,411,Mhuju Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-10.866850,33.997650,,,,,,,
Rumphi,RU,403,,403,Chitimba Health Centre,Health Centre,Government/public,Rural,,-10.598080,34.170260,,,,,,,
Rumphi,RU,421,,0,Chisimuka Health Centre,Health Centre,Government/public,Rural,,-10.769240,33.557510,,,,,,,
Rumphi,RU,422,,422,Jalawe Health Centre,Health Centre,Government/public,Rural,,-10.730520,34.161720,,,,,,,
Rumphi,RU,423,,423,Lura Health Centre,Health Centre,Government/public,Rural,,-10.726380,34.044080,,,,,,,
Rumphi,RU,413,MCM/MOH/HC/54,413,Mphompha Health Centre,Health Centre,Government/public,Rural,,-11.006620,34.073050,,,,,,,
Rumphi,RU,414,MCM/MOH/HC/55,414,Mwazisi Health Centre,Health Centre,Government/public,Rural,,-10.943560,33.579200,,,,,,,
Rumphi,RU,415,,415,Mzokoto Health Centre,Health Centre,Government/public,Rural,,-10.907770,34.027350,,,,,,,
Rumphi,RU,424,,424,Ng'onga Health Centre,Dispensary,Government/public,Rural,,-10.939220,33.943480,,,,,,,
Rumphi,RU,426,,0,Chilinda,Health Post,Government/public,Rural,,-10.591010,33.806050,,,,,,,
Rumphi,RU,427,MCM/CHAM/HC/57,0,Zunga Health Post,Health Post,Christian Health Association of Malawi (CHAM),Rural,,-10.846280,34.212310,,,,,,,
Rumphi,RU,404,,404,Livingstonia Mission Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-10.604670,34.110900,,,,,,,
Rumphi,RU,409,MCM/CHAM/RH/54,409,Luwuchi Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-10.683530,34.193530,,,,,,,
Rumphi,RU,412,MCM/CHAM/RH/55,412,Mlowe Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-10.764290,34.194880,,,,,,,
Rumphi,RU,416,MCM/CHAM/HC/14,416,Nthenje Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-10.917880,33.987860,,,,,,,
Rumphi,RU,428,MCM/CHAM/RH/36,428,St. Patricks Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Urban,,-11.022970,33.873190,,,,,,,
Rumphi,RU,429,MCM/C/114,429,Eva Demaya Private Clinic,Dispensary,Private for profit,Rural,,-10.960020,33.648620,,,,,,,
Rumphi,RU,430,,0,Kasambala Private Clinic,Dispensary,Private for profit,Rural,,-10.775930,34.039080,,,,,,,
Rumphi,RU,431,,0,"Twisile Private Clinic, Nyondo",Dispensary,Private for profit,Rural,,-10.977600,33.745980,,,,,,,
Rumphi,RU,432,,0,Wongani Private Clinic,Dispensary,Private for profit,Urban,,-11.023790,33.854190,,,,,,,
Rumphi,RU,435,MCM/C/218,0,Phwezi Private Clinic,Dispensary,NGO,Rural,,-10.887620,34.044460,,,,,,,
Rumphi,RU,425,MCM/C/084,425,Rumphi BLM,Dispensary,NGO,Urban,,-11.022790,33.855230,,,,,,,
Rumphi,RU,436,,0,Mchenga Clinic,Dispensary,Company,Rural,,-10.699570,34.140360,,,,,,,
Rumphi,RU,437,,0,Phuno,Health Post,Government/public,Rural,,-11.027859,34.074571,,,,,,,
Rumphi,RU,438,,0,Kasonkhwe,Health Post,Government/public,Rural,,-10.733449,34.078900,,,,,,,
Rumphi,RU,439,,0,Nkhomboli,Health Post,Government/public,Rural,,-10.775985,34.039194,,,,,,,
Rumphi,RU,440,,0,Thazima,Health Post,Government/public,Rural,,-10.829800,33.592408,,,,,,,
Rumphi,RU,441,MCM/CHAM/DH/19,441,David Gordon Memorial,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Mzimba,MZ,538,MCM/MOH/CH/04,0,Mzuzu Cental Hospital,Central Hospital,Government/public,Urban,,-11.427920,33.995500,,,,,,,
Mzimba,MZ,532,MCM/MOH/DH/19,441,Mzimba District Hospital,District Hospital,Government/public,Urban,,-11.898050,33.584210,,,,,,,
Mzimba,MZ,509,MCM/MOH/RH/08,509,Euthini Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-11.458360,33.419250,,,,,,,
Mzimba,MZ,515,MCM/CHAM/RH/67,515,Katete Community Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-12.345920,33.614210,,,,,,,
Mzimba,MZ,501,MCM/MOH/HC/25,501,Bulala Health Centre,Health Centre,Government/public,Rural,,-11.678100,33.447980,,,,,,,
Mzimba,MZ,551,MCM/MOH/HC/53,551,Bwengu Health Centre,Health Centre,Government/public,Urban,,-11.063560,33.916460,,,,,,,
Mzimba,MZ,571,,571,Chikangawa Health Centre,Health Centre,Government/public,Rural,,-11.843620,33.787590,,,,,,,
Mzimba,MZ,502,MCM/MOH/HC/39,502,Choma Health Centre,Health Centre,Government/public,Rural,,-11.313180,33.993270,,,,,,,
Mzimba,MZ,503,MCM/MOH/HC32,503,Edingeni Health Centre,Health Centre,Government/public,Rural,,-12.040720,33.312950,,,,,,,
Mzimba,MZ,506,MCM/MOH/HC/23,506,Emfeni Health Centre,Health Centre,Government/public,Rural,,-12.594060,33.609760,,,,,,,
Mzimba,MZ,507,MCM/MOH/HC/22,507,Emsizini Health Centre,Health Centre,Government/public,Rural,,-11.444350,33.824850,,,,,,,
Mzimba,MZ,508,MCM/MOH/HC/16,508,Endindeni Health Centre,Health Centre,Government/public,Rural,,-11.758180,33.556100,,,,,,,
Mzimba,MZ,554,,554,Engucwini Health Centre,Health Centre,Government/public,Rural,,-11.197610,33.823140,,,,,,,
Mzimba,MZ,406,MCM/MOH/HC/52,406,Enukweni Health Centre,Health Centre,Government/public,Rural,,-11.180050,33.885920,,,,,,,
Mzimba,MZ,510,MCM/MOH/HC/34,510,Hoho Health Centre,Health Centre,Government/public,Rural,,-12.278150,33.686400,,,,,,,
Mzimba,MZ,511,MCM/MOH/HC/33,511,Jenda Health Centre,Health Centre,Government/public,Rural,,-12.352060,33.547550,,,,,,,
Mzimba,MZ,517,MCM/MOH/HC/21,517,Kabuwa Health Centre,Health Centre,Government/public,Rural,,-12.517260,34.073950,,,,,,,
Mzimba,MZ,540,MCM/MOH/HC/31,540,Kabwafu Health Centre,Health Centre,Government/public,Rural,,-11.308690,33.525560,,,,,,,
Mzimba,MZ,512,MCM/MOH/HC/24,512,Kafukule Health Centre,Health Centre,Government/public,Rural,,-11.457500,33.633950,,,,,,,
Mzimba,MZ,514,MCM/MOH/HC/26,514,Kamteteka Health Centre,Health Centre,Government/public,Rural,,-11.836490,33.358920,,,,,,,
Mzimba,MZ,557,MCM/MOH/HC/51,557,Kamwe Health Centre,Health Centre,Government/public,Rural,,-11.102650,33.789110,,,,,,,
Mzimba,MZ,516,,516,Khosolo Health Centre,Health Centre,Government/public,Rural,,-12.440200,33.791330,,,,,,,
Mzimba,MZ,572,,572,Nkhuyukuyu Health Centre,Health Centre,Government/public,Rural,,-11.221830,33.914610,,,,,,,
Mzimba,MZ,519,,519,Luvwere Health Centre,Health Centre,Government/public,Rural,,-11.389210,33.672900,,,,,,,
Mzimba,MZ,545,,545,Luwawa Health Centre,Health Centre,Government/public,Rural,,-12.113370,33.719430,,,,,,,
Mzimba,MZ,520,MCM/MOH/HC/35,520,Luwelezi Health Centre,Health Centre,Government/public,Rural,,-12.488250,33.641190,,,,,,,
Mzimba,MZ,560,,560,Luzi Health Centre,Health Centre,Government/public,Rural,,-10.996810,33.955830,,,,,,,
Mzimba,MZ,522,MCM/MOH/HC/29,522,Madede Health Centre,Health Centre,Government/public,Rural,,-11.538940,33.294560,,,,,,,
Mzimba,MZ,523,MCM/MOH/HC/37,523,Malidade Health Centre,Health Centre,Government/public,Rural,,-11.229260,33.499890,,,,,,,
Mzimba,MZ,524,MCM/MOH/HC/28,524,Manyamula Health Centre,Health Centre,Government/public,Rural,,-11.940050,33.439450,,,,,,,
Mzimba,MZ,573,,573,Matuli Health Centre,Health Centre,Government/public,Rural,,-11.485130,33.896130,,,,,,,
Mzimba,MZ,525,MCM/MOH/HC/30,525,Mbalachanda Health Centre,Health Centre,Government/public,Rural,,-11.357380,33.371330,,,,,,,
Mzimba,MZ,541,,541,Mkoma Health Centre,Health Centre,Government/public,Rural,,-12.612350,33.782400,,,,,,,
Mzimba,MZ,526,MCM/MOH/HC/38,526,Mpherembe Health Centre,Health Centre,Government/public,Rural,,-11.288060,33.614310,,,,,,,
Mzimba,MZ,527,MCM/MOH/HC/19,527,Msese Health Centre,Health Centre,Government/public,Rural,,-12.359510,33.740020,,,,,,,
Mzimba,MZ,528,MCM/MOH/HC/27 ,528,Mtende Health Centre,Health Centre,Government/public,Rural,,-11.497240,33.548940,,,,,,,
Mzimba,MZ,529,MCM/MOH/HC/36,529,Mtwalo Health Centre,Health Centre,Government/public,Rural,,-11.396710,33.745910,,,,,,,
Mzimba,MZ,530,,530,Mzalangwe Health Centre,Health Centre,Government/public,Rural,,-11.612280,33.565100,,,,,,,
Mzimba,MZ,533,MCM/MOH/HC/18,533,Mzuzu Health Centre,Health Centre,Government/public,Urban,,-11.461380,34.015180,,,,,,,
Mzimba,MZ,534,MCM/MOH/HC/17,534,Njuyu Health Centre,Health Centre,Government/public,Rural,,-11.524550,33.699530,,,,,,,
Mzimba,MZ,568,MCM/MOH/HC/50,568,Thunduwike Health Centre,Health Centre,Government/public,Rural,,-11.176650,33.576360,,,,,,,
Mzimba,MZ,549,,549,Ehehieni  Dispensary,Dispensary,Government/public,Rural,,-12.262100,33.589120,,,,,,,
Mzimba,MZ,553,,553,Ekwaiweni Dispensary,Dispensary,Government/public,Rural,,-11.423090,33.897660,,,,,,,
Mzimba,MZ,559,,559,Lusangazi Dispensary,Dispensary,Government/public,Rural,,-11.499790,33.942910,,,,,,,
Mzimba,MZ,543,,543,Vibangalala Dispensary,Dispensary,Government/public,Rural,,-12.234330,33.486190,,,,,,,
Mzimba,MZ,556,MCM/C/30,556,"Escom, Mzuzu",Dispensary,Government/public,Urban,,-11.462870,34.022750,,,,,,,
Mzimba,MZ,566,,6016,Mzuzu Central Prison,Dispensary,Government/public,Urban,,-11.464740,34.019910,,,,,,,
Mzimba,MZ,574,,0,Zolozolo Health Post,Health Post,Government/public,Urban,,-11.435700,34.023940,,,,,,,
Mzimba,MZ,505,MCM/CHAM/DH/14,505,Embangweni Mission Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-12.136650,33.476810,,,,,,,
Mzimba,MZ,531,,531,Mzambazi Community Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-11.427640,33.450310,,,,,,,
Mzimba,MZ,504,,504,Ekwendeni Mission Hospital,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,,-11.371560,33.883420,,,,,,,
Mzimba,MZ,537,,536,St. Johns Hospital,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,,-11.451610,34.028060,,,,,,,
Mzimba,MZ,537,MCM/CHAM/DH/18,537,St. John of God Mental Hospita,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,,-11.455710,34.013810,,,,,,,
Mzimba,MZ,513,MCM/CHAM/HC44,513,Kalikumbi Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-12.203800,33.333520,,,,,,,
Mzimba,MZ,518,MCM/CHAM/HC/12,518,Lunjika Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-11.714510,33.685800,,,,,,,
Mzimba,MZ,521,,0,Mabiri Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-12.246240,33.430000,,,,,,,
Mzimba,MZ,546,,546,Mhalaunda Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-12.051180,33.466560,,,,,,,
Mzimba,MZ,535,MCM/CHAM/HC/10,535,Nkhorongo Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-11.390100,33.985140,,,,,,,
Mzimba,MZ,575,,0,Mary Mount Clinic,Dispensary,Christian Health Association of Malawi (CHAM),Urban,,-11.442620,34.035820,,,,,,,
Mzimba,MZ,576,,0,"WAFC Private Clinic, Banda, Be",Dispensary,Private for profit,Rural,,-12.354580,33.552840,,,,,,,
Mzimba,MZ,552,,0,Dr Musachi's Surgery,Dispensary,Private for profit,Urban,,-11.457710,34.017140,,,,,,,
